Curated Gene Symbol	Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	Sex-bias	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)	Composite array score
INSR	A_32_P149735	chr19:7113952-7114011	INSR	NM_001079817	Insulin receptor	molecular function|3-phosphoinositide-dependent protein kinase binding|IEA|GO:0043423|GOA|na//molecular function|ATP binding|IDA|GO:0005524|GOA|6849137//molecular function|GTP binding|IDA|GO:0005525|GOA|9092559//molecular function|PTB domain binding|IPI|GO:0051425|GOA|7559478//molecular function|SH2 domain binding|IPI|GO:0042169|GOA|8276809//molecular function|insulin binding|IDA|GO:0043559|GOA|8440175//molecular function|insulin binding|IPI|GO:0043559|GOA|8452530//molecular function|insulin receptor activity|IDA|GO:0005009|GOA|ARRAY(0xaeaba0)//molecular function|insulin receptor substrate binding|IPI|GO:0043560|GOA|ARRAY(0x1a4a72c)//molecular function|insulin-like growth factor I binding|IPI|GO:0031994|GOA|8452530//molecular function|insulin-like growth factor II binding|IPI|GO:0031995|GOA|12138094//molecular function|insulin-like growth factor receptor binding|IDA|GO:0005159|GOA|8452530//molecular function|lipoic acid binding|IEA|GO:0031405|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|phosphoinositide 3-kinase binding|IPI|GO:0043548|GOA|ARRAY(0x1a7c558)//molecular function|protein binding|IDA|GO:0005515|GOA|16127460//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x198edc4)//molecular function|protein complex binding|IEA|GO:0032403|GOA|na//molecular function|protein phosphatase binding|IEA|GO:0019903|GOA|na//molecular function|protein tyrosine kinase activity|IDA|GO:0004713|GOA|8496180//molecular function|protein tyrosine kinase activity|IMP|GO:0004713|GOA|7537849//molecular function|receptor activity|IEA|GO:0004872|GOA|na//molecular function|receptor signaling protein tyrosine kinase activity|IDA|GO:0004716|GOA|6849137//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|G-protein coupled receptor protein signaling pathway|IDA|GO:0007186|GOA|9092559//biological process|activation of MAPK activity|IMP|GO:0000187|GOA|17001305//biological process|activation of protein kinase B activity|IDA|GO:0032148|GOA|7556070//biological process|activation of protein kinase activity|IMP|GO:0032147|GOA|9819385//biological process|carbohydrate metabolic process|IEA|GO:0005975|GOA|na//biological process|cellular response to insulin stimulus|IDA|GO:0032869|GOA|8440175//biological process|fat cell differentiation|IEA|GO:0045444|GOA|na//biological process|glucose homeostasis|IMP|GO:0042593|GOA|7693131//biological process|heart morphogenesis|IMP|GO:0003007|GOA|7693131//biological process|insulin receptor signaling pathway|IDA|GO:0008286|GOA|ARRAY(0x2a722f8)//biological process|male sex determination|IEA|GO:0030238|GOA|na//biological process|negative regulation of gene expression|IEA|GO:0010629|GOA|na//biological process|negative regulation of protein amino acid phosphorylation|IEA|GO:0001933|GOA|na//biological process|negative regulation of transporter activity|IEA|GO:0032410|GOA|na//biological process|peptidyl-tyrosine phosphorylation|IDA|GO:0018108|GOA|8496180//biological process|positive regulation of DNA replication|IMP|GO:0045740|GOA|12138094//biological process|positive regulation of MAPKKK cascade|IMP|GO:0043410|GOA|11500939//biological process|positive regulation of cell migration|IMP|GO:0030335|GOA|12138094//biological process|positive regulation of cell proliferation|IC|GO:0008284|GOA|11500939//biological process|positive regulation of cell proliferation|IDA|GO:0008284|GOA|17925406//biological process|positive regulation of developmental growth|IMP|GO:0048639|GOA|7693131//biological process|positive regulation of glucose import|IDA|GO:0046326|GOA|3518947//biological process|positive regulation of glucose import|NAS|GO:0046326|GOA|11001060//biological process|positive regulation of glycogen biosynthetic process|IDA|GO:0045725|GOA|17925406//biological process|positive regulation of glycolysis|IMP|GO:0045821|GOA|7693131//biological process|positive regulation of glycoprotein biosynthetic process|IEA|GO:0010560|GOA|na//biological process|positive regulation of mitosis|IMP|GO:0045840|GOA|11500939//biological process|positive regulation of nitric oxide biosynthetic process|IMP|GO:0045429|GOA|10747347//biological process|positive regulation of protein amino acid phosphorylation|IDA|GO:0001934|GOA|7556070//biological process|positive regulation of protein kinase B signaling cascade|IMP|GO:0051897|GOA|11500939//biological process|positive regulation of respiratory burst|IDA|GO:0060267|GOA|9092559//biological process|protein amino acid autophosphorylation|IDA|GO:0046777|GOA|ARRAY(0x14c3894)//biological process|protein amino acid autophosphorylation|IMP|GO:0046777|GOA|7537849//biological process|protein heterotetramerization|IDA|GO:0051290|GOA|1898103//biological process|regulation of embryonic development|IMP|GO:0045995|GOA|7693131//biological process|regulation of gene-specific transcription|IMP|GO:0032583|GOA|12881524//biological process|regulation of hydrogen peroxide metabolic process|IEA|GO:0010310|GOA|na//biological process|response to activity|IEA|GO:0014823|GOA|na//biological process|response to estradiol stimulus|IEA|GO:0032355|GOA|na//biological process|response to ethanol|IEA|GO:0045471|GOA|na//biological process|response to glucocorticoid stimulus|IEA|GO:0051384|GOA|na//biological process|response to manganese ion|IEA|GO:0010042|GOA|na//biological process|response to nutrient levels|IEA|GO:0031667|GOA|na//biological process|response to protein stimulus|IEA|GO:0051789|GOA|na//biological process|response to testosterone stimulus|IEA|GO:0033574|GOA|na//biological process|response to tumor necrosis factor|IEA|GO:0034612|GOA|na//biological process|response to vitamin D|IEA|GO:0033280|GOA|na//biological process|transformation of host cell by virus|IMP|GO:0019087|GOA|17001305//cellular component|caveola|IDA|GO:0005901|GOA|15182363//cellular component|cytosol|IEA|GO:0005829|GOA|na//cellular component|endosome|IEA|GO:0005768|GOA|na//cellular component|endosome membrane|EXP|GO:0010008|GOA|2986535//cellular component|insulin receptor complex|IMP|GO:0005899|GOA|15069075//cellular component|integral to plasma membrane|IDA|GO:0005887|GOA|9092559//cellular component|membrane|IDA|GO:0016020|GOA|8452530//cellular component|microsome|IDA|GO:0005792|GOA|8452530//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|plasma membrane|EXP|GO:0005886|GOA|2986535//cellular component|plasma membrane|IC|GO:0005886|GOA|6849137//cellular component|soluble fraction|IEA|GO:0005625|GOA|na//cellular component|synapse|IEA|GO:0045202|GOA|na	M	1.1821	1.1821	0.000066026	1739.3958	2051.9229	13
EIF4H	A_32_P149755	chr7:73611172-73611231	EIF4H	NM_031992	Eukaryotic translation initiation factor 4H	molecular function|RNA binding|IEA|GO:0003723|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|19203580//molecular function|translation factor activity, nucleic acid binding|TAS|GO:0008135|GOA|9516461//molecular function|translation initiation factor activity|IEA|GO:0003743|GOA|na//biological process|interspecies interaction between organisms|IEA|GO:0044419|GOA|na//biological process|regulation of translational initiation|TAS|GO:0006446|GOA|9516461//biological process|translation|IEA|GO:0006412|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytosol|EXP|GO:0005829|GOA|12588972//cellular component|eukaryotic translation initiation factor 4F complex|TAS|GO:0016281|GOA|9516461//cellular component|perinuclear region of cytoplasm|IEA|GO:0048471|GOA|na	F	0.8536	-1.1716	2.85E-07	65.9846	56.4032	13
	A_32_P150269	chr2:187920605-187920664					M	1.4152	1.4152	0.000010371	24.0157	33.8624	13
HNRNPR	A_32_P150802	chr1:23636360-23636419	HNRNPR	NM_005826	Heterogeneous nuclear ribonucleoprotein R	molecular function|RNA binding|IEA|GO:0003723|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xfbaecc)//biological process|RNA splicing|EXP|GO:0008380|GOA|12226669//biological process|mRNA processing|IEA|GO:0006397|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|heterogeneous nuclear ribonucleoprotein complex|TAS|GO:0030530|GOA|9421497//cellular component|nucleoplasm|IEA|GO:0005654|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|ribonucleoprotein complex|IDA|GO:0030529|GOA|17289661//cellular component|spliceosomal complex|IEA|GO:0005681|GOA|na	F	0.8475	-1.18	0.000089987	37.8696	31.7993	12
	A_32_P150836	chr18:1367071-1367130					M	1.3151	1.3151	7.75E-07	66.2817	87.97	13
HS2ST1	A_32_P150928	chr1:87380672-87380731	HS2ST1	NM_012262	Heparan sulfate 2-O-sulfotransferase 1	molecular function|heparan sulfate 2-O-sulfotransferase activity|IEA|GO:0004394|GOA|na//molecular function|sulfotransferase activity|IEA|GO:0008146|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|carbohydrate biosynthetic process|IEA|GO:0016051|GOA|na//biological process|heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process|IEA|GO:0015014|GOA|na//biological process|heparin metabolic process|IEA|GO:0030202|GOA|na//cellular component|Golgi apparatus|IEA|GO:0005794|GOA|na//cellular component|Golgi membrane|IEA|GO:0000139|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.8446	-1.1839	0.0003	1217.1072	1028.4292	13
	A_32_P153781	chr9:97330081-97330140		BC042913	CDNA FLJ41071 fis, clone 3NB692003538		F	0.7894	-1.2669	0.0003	138.1595	108.8651	13
	A_32_P154872	chr4:8161748-8161807					F	0.8513	-1.1746	9.11E-11	22.0271	18.7702	13
RCAN2	A_32_P156851	chr6:46188508-46188566	RCAN2	NM_005822	Regulator of calcineurin 2	molecular function|protein phosphatase 2B binding|NAS|GO:0030346|GOA|na//biological process|calcium-mediated signaling|IEA|GO:0019722|GOA|na//biological process|central nervous system development|NAS|GO:0007417|GOA|na//cellular component|cellular_component|ND|GO:0005575|GOA|na	F	0.7782	-1.2851	3.31E-19	1245.906	971.2224	13
	A_32_P157374	chr22:29281650-29281709					F	0.8229	-1.2152	0.000055138	91.7932	75.1853	12
FOLH1B	A_32_P157391	chr11:89424657-89424696	FOLH1B	NM_153696	Folate hydrolase 1B	molecular function|dipeptidase activity|IEA|GO:0016805|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|metallopeptidase activity|IEA|GO:0008237|GOA|na//molecular function|peptidase activity|IEA|GO:0008233|GOA|na//biological process|proteolysis|IEA|GO:0006508|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na	M	1.1501	1.1501	8.60E-06	7260.5952	8372.6826	13
CELSR1	A_32_P157471	chr22:46757097-46757156	CELSR1	NM_014246	Cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)	molecular function|G-protein coupled receptor activity|NAS|GO:0004930|GOA|9339365//molecular function|calcium ion binding|IEA|GO:0005509|GOA|na//molecular function|protein dimerization activity|NAS|GO:0046983|GOA|9339365//molecular function|transmembrane receptor activity|NAS|GO:0004888|GOA|9339365//biological process|G-protein coupled receptor protein signaling pathway|NAS|GO:0007186|GOA|9339365//biological process|cell adhesion|IEA|GO:0007155|GOA|na//biological process|central nervous system development|NAS|GO:0007417|GOA|9339365//biological process|central nervous system development|TAS|GO:0007417|GOA|10716726//biological process|establishment of planar polarity|ISS|GO:0001736|GOA|na//biological process|homophilic cell adhesion|IEA|GO:0007156|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|neural tube closure|ISS|GO:0001843|GOA|na//biological process|neuropeptide signaling pathway|IEA|GO:0007218|GOA|na//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|integral to membrane|TAS|GO:0016021|GOA|10716726//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|9339365//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	M	1.2244	1.2244	0.0001	98.9037	120.8628	13
NCKAP1	A_32_P157631	chr2:183789838-183789897	NCKAP1	NM_205842	NCK-associated protein 1	molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x49f2124)//biological process|apoptosis|TAS|GO:0006915|GOA|10673335//biological process|central nervous system development|TAS|GO:0007417|GOA|10673335//cellular component|cell projection|IEA|GO:0042995|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|lamellipodium membrane|IEA|GO:0031258|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	F	0.7539	-1.3264	0.0045	91.8854	65.976	12
	A_32_P157702	chr21:9550171-9550230					F	0.8199	-1.2196	0.000075399	311.9913	255.7911	12
	A_32_P157927	chr2:89185420-89185479		Z46622	Isolate RSV18L immunoglobulin light chain variable region		F	0.8479	-1.1793	0.0013	908.3063	764.748	12
ASNS	A_32_P158376	chr8:47507806-47507851	ASNS	NM_183356	Asparagine synthetase	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|asparagine synthase (glutamine-hydrolyzing) activity|EXP|GO:0004066|GOA|2564390//molecular function|asparagine synthase (glutamine-hydrolyzing) activity|IDA|GO:0004066|GOA|ARRAY(0xcf0bc4)//molecular function|cofactor binding|IEA|GO:0048037|GOA|na//molecular function|ligase activity|IEA|GO:0016874|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein homodimerization activity|IEA|GO:0042803|GOA|na//biological process|asparagine biosynthetic process|IC|GO:0006529|GOA|2564390//biological process|asparagine biosynthetic process|IDA|GO:0006529|GOA|2573597//biological process|cellular amino acid biosynthetic process|IEA|GO:0008652|GOA|na//biological process|cellular response to glucose starvation|IDA|GO:0042149|GOA|10085239//biological process|glutamine metabolic process|IEA|GO:0006541|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|negative regulation of apoptosis|IMP|GO:0043066|GOA|17409444//biological process|positive regulation of mitotic cell cycle|IDA|GO:0045931|GOA|2569668//biological process|response to amino acid stimulus|IEA|GO:0043200|GOA|na//cellular component|cytosol|EXP|GO:0005829|GOA|2564390//cellular component|soluble fraction|IDA|GO:0005625|GOA|2564390	M	1.2282	1.2282	0.0001	31.4102	38.6522	12
C21orf37	A_32_P15863	chr21:18814017-18814076	C21orf37	BC144391	Chromosome 21 open reading frame 37		M	1.2911	1.2911	0.00001492	25.8017	33.6903	13
	A_32_P15887	chr17:79448257-79448316					F	0.8211	-1.2179	0.0001	138.6761	113.9558	12
	A_32_P159073	chr10:24606031-24606090					M	1.1965	1.1965	0.000070126	25.9194	31.2599	13
	A_32_P159574	chr11:58902512-58902571		BC028022	Homo sapiens, clone IMAGE:5218412, mRNA		F	0.8532	-1.172	5.17E-08	214.482	181.8253	13
	A_32_P160025	chr6:49786877-49786936					F	0.5413	-1.8474	0.0032	7.3912	4.2573	12
	A_32_P160157	chr10:70030910-70030969		AK130038			M	1.3528	1.3528	0.000031654	171.6468	232.887	13
	A_32_P161033	chr1:143403643-143403702		BC043411	Homo sapiens, clone IMAGE:6155889, mRNA		M	1.8222	1.8222	9.07E-07	16.0251	28.7167	13
	A_32_P161755	chr2:20400794-20400842					M	1.2286	1.2286	9.58E-06	24.9652	30.6972	13
RUNX2	A_32_P161762	chr6:45518216-45518275	RUNX2	NM_004348	Runt-related transcription factor 2	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|RNA polymerase II transcription factor activity|TAS|GO:0003702|GOA|9182762//molecular function|chromatin binding|IEA|GO:0003682|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x1d0b780)//molecular function|transcription activator activity|IDA|GO:0016563|GOA|11965546//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|cell maturation|IEA|GO:0048469|GOA|na//biological process|chondrocyte development|IEA|GO:0002063|GOA|na//biological process|endochondral ossification|IEA|GO:0001958|GOA|na//biological process|negative regulation of smoothened signaling pathway|IEA|GO:0045879|GOA|na//biological process|negative regulation of transcription|IDA|GO:0016481|GOA|11965546//biological process|ossification|TAS|GO:0001503|GOA|12217689//biological process|osteoblast differentiation|TAS|GO:0001649|GOA|12217689//biological process|osteoblast fate commitment|IEA|GO:0002051|GOA|na//biological process|positive regulation of cell proliferation|IEA|GO:0008284|GOA|na//biological process|positive regulation of chondrocyte differentiation|IEA|GO:0032332|GOA|na//biological process|positive regulation of ossification|IEA|GO:0045778|GOA|na//biological process|positive regulation of osteoblast differentiation|IEA|GO:0045669|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|regulation of fibroblast growth factor receptor signaling pathway|IEA|GO:0040036|GOA|na//biological process|regulation of odontogenesis of dentine-containing tooth|IEA|GO:0042487|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|skeletal system development|IEA|GO:0001501|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|transcription factor complex|IEA|GO:0005667|GOA|na	M	1.1573	1.1573	0.000040254	121.9042	142.4693	12
CD8A	A_32_P163247	chr2:87011941-87012000	CD8A	NR_027353			F	0.8039	-1.244	3.35E-07	851.8167	679.3832	12
ZNF562	A_32_P163558	chr19:9770053-9770112	ZNF562	NM_001130032	Zinc finger protein 562	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	M	1.1902	1.1902	6.52E-07	24.4777	29.1127	13
	A_32_P163996	chr2:43023733-43023792					F	0.7932	-1.2607	0.0007	275.4227	216.3353	12
	A_32_P167176	chr2:87801669-87801728					M	1.2394	1.2394	0.0001	164.3473	203.7256	12
	A_32_P168375	chr5:175137467-175137526					M	1.153	1.153	0.0029	41.553	47.6734	12
	A_32_P169383	chr2:242623962-242624021					M	1.2797	1.2797	0.000026966	61.7449	78.7168	13
GOLGA6L5	A_32_P169491	chrY:27601387-27601446	GOLGA6L5	AK098200	Golgin A6 family-like 5 (pseudogene)		F	0.8615	-1.1608	0.0039	23.9853	20.5382	13
SNHG5	A_32_P171348	chr6:86387515-86387574	SNHG5	NR_003038			F	0.8635	-1.158	0.0004	55.1638	47.5506	12
ASF1A	A_32_P173582	chr6:119228565-119228599	ASF1A	NM_014034	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	molecular function|chromatin binding|NAS|GO:0003682|GOA|10759893//molecular function|histone binding|IDA|GO:0042393|GOA|10759893//biological process|DNA repair|IDA|GO:0006281|GOA|11897662//biological process|chromatin assembly or disassembly|IEA|GO:0006333|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|loss of chromatin silencing|NAS|GO:0006345|GOA|10759893//biological process|nucleosome assembly|IDA|GO:0006334|GOA|11897662//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|chromatin remodeling complex|IDA|GO:0016585|GOA|10759893//cellular component|nucleus|IDA|GO:0005634|GOA|11256614//cellular component|nucleus|NAS|GO:0005634|GOA|10759893	F	0.7045	-1.4195	2.97E-06	11.0362	7.8432	13
PTBP2	A_32_P174832	chr1:97279379-97279438	PTBP2	NM_021190	Polypyrimidine tract binding protein 2	molecular function|RNA binding|IEA|GO:0003723|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//biological process|RNA splicing|IEA|GO:0008380|GOA|na//biological process|mRNA processing|IEA|GO:0006397|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	M	1.2828	1.2828	0.0041	24.0234	30.4004	12
	A_32_P175077	chr4:160061220-160061279		BC033052	CDNA clone IMAGE:5259731		F	0.5626	-1.7774	0.0002	13.7586	7.361	13
GNPNAT1	A_32_P175957	chr14:53243798-53243857	GNPNAT1	NM_198066	Glucosamine-phosphate N-acetyltransferase 1	molecular function|acyltransferase activity|IEA|GO:0008415|GOA|na//molecular function|glucosamine 6-phosphate N-acetyltransferase activity|IEA|GO:0004343|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//cellular component|ER-Golgi intermediate compartment|IEA|GO:0005793|GOA|na//cellular component|Golgi apparatus|IEA|GO:0005794|GOA|na//cellular component|Golgi membrane|IEA|GO:0000139|GOA|na//cellular component|endosome membrane|IEA|GO:0010008|GOA|na//cellular component|late endosome|IEA|GO:0005770|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.8543	-1.1705	0.0002	82.7028	70.2324	13
	A_32_P176036	chr9:91621956-91622015	LOC100131540	BX538228	Hypothetical protein LOC100131540		M	1.1733	1.1733	2.05E-06	20.7697	24.1719	12
ZNF609	A_32_P176609	chr15:64966870-64966929	ZNF609	NM_015042	Zinc finger protein 609	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	0.7758	-1.2891	9.98E-08	690.2966	532.4099	13
RUFY3	A_32_P176956	chr4:71673524-71673583	RUFY3	NM_001037442	RUN and FYVE domain containing 3	biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|negative regulation of axonogenesis|ISS|GO:0050771|GOA|na//biological process|nervous system development|IEA|GO:0007399|GOA|na//cellular component|filopodium|ISS|GO:0030175|GOA|na//cellular component|growth cone|ISS|GO:0030426|GOA|na	M	1.1617	1.1617	0.0001	196.9628	230.493	12
FAM76A	A_32_P179089	chr1:28087520-28087579	FAM76A	NM_152660	Family with sequence similarity 76, member A		M	1.2237	1.2237	1.27E-09	274.0131	331.6297	13
	A_32_P180265	chr9:67786621-67786680					M	1.1548	1.1548	0.0025	32.0746	37.3218	12
	A_32_P181339	chr4:40627540-40627599					M	1.2372	1.2372	0.000010777	694.5656	864.7439	13
	A_32_P181548	chr3:9422504-9422563					M	1.2124	1.2124	8.86E-08	209.9053	256.9226	13
	A_32_P182055	chr2:111242469-111242528					M	1.1513	1.1513	0.0016	69.9672	80.1818	12
