Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	28 genes associated with lipid metabolism	Gene Accession	Gene Name	GO Annotation	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_23_P161624	chr11:65660098-65660157	FOSL1	0	NM_005438	FOS-like antigen 1	molecular function|protein binding|IPI|GO:0005515|GOA|19060904//molecular function|protein dimerization activity|IEA|GO:0046983|GOA|na//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription activator activity|IEA|GO:0016563|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|cellular defense response|TAS|GO:0006968|GOA|10918580//biological process|cellular response to extracellular stimulus|IEA|GO:0031668|GOA|na//biological process|chemotaxis|TAS|GO:0006935|GOA|10918580//biological process|female pregnancy|IEA|GO:0007565|GOA|na//biological process|learning|IEA|GO:0007612|GOA|na//biological process|negative regulation of cell proliferation|IEA|GO:0008285|GOA|na//biological process|positive regulation of apoptosis|IEA|GO:0043065|GOA|na//biological process|positive regulation of cell cycle|IEA|GO:0045787|GOA|na//biological process|positive regulation of cell proliferation|TAS|GO:0008284|GOA|8230424//biological process|positive regulation of transcription from RNA polymerase II promoter, mitotic|IEA|GO:0046022|GOA|na//biological process|regulation of transcription from RNA polymerase II promoter|TAS|GO:0006357|GOA|10918580//biological process|response to cAMP|IEA|GO:0051591|GOA|na//biological process|response to corticosterone stimulus|IEA|GO:0051412|GOA|na//biological process|response to cytokine stimulus|IEA|GO:0034097|GOA|na//biological process|response to drug|IEA|GO:0042493|GOA|na//biological process|response to gravity|IEA|GO:0009629|GOA|na//biological process|response to hydrogen peroxide|IEA|GO:0042542|GOA|na//biological process|response to mechanical stimulus|IEA|GO:0009612|GOA|na//biological process|response to organic cyclic substance|IEA|GO:0014070|GOA|na//biological process|response to progesterone stimulus|IEA|GO:0032570|GOA|na//biological process|response to virus|TAS|GO:0009615|GOA|8230424//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|2107490//cellular component|cytosol|IEA|GO:0005829|GOA|na//cellular component|microsome|IEA|GO:0005792|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|presynaptic membrane|IEA|GO:0042734|GOA|na//cellular component|synaptosome|IEA|GO:0019717|GOA|na	M	15	1.2768	1.2768	3.3268E-06	111.5635	142.7489
A_24_P22079	chr13:41130709-41130768	FOXO1	0	NM_002015	Forkhead box O1	molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xfb9370)//molecular function|sequence-specific DNA binding|IDA|GO:0043565|GOA|12228231//molecular function|transcription activator activity|IDA|GO:0016563|GOA|ARRAY(0xb8bb70)//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|anti-apoptosis|IDA|GO:0006916|GOA|10871843//biological process|blood vessel development|IEA|GO:0001568|GOA|na//biological process|insulin receptor signaling pathway|IEA|GO:0008286|GOA|na//biological process|negative regulation of stress-activated MAPK cascade|IDA|GO:0032873|GOA|19696738//biological process|positive regulation of transcription|IEA|GO:0045941|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IDA|GO:0045944|GOA|ARRAY(0xcef10c)//biological process|regulation of cell proliferation|IEA|GO:0042127|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|ARRAY(0xe40058)//cellular component|cytosol|EXP|GO:0005829|GOA|12228231//cellular component|nucleoplasm|EXP|GO:0005654|GOA|12228231//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0x12d9600)	M	14	1.1812	1.1812	2.8057E-06	5054.4048	5971.0571
A_23_P104237	chr10:113913394-113913425	GPAM	1	NM_020918	Glycerol-3-phosphate acyltransferase, mitochondrial	molecular function|acyltransferase activity|IEA|GO:0008415|GOA|na//molecular function|glycerol-3-phosphate O-acyltransferase activity|EXP|GO:0004366|GOA|11546763//molecular function|glycerol-3-phosphate O-acyltransferase activity|IMP|GO:0004366|GOA|18238778//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|fatty acid metabolic process|IEA|GO:0006631|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|phospholipid biosynthetic process|IEA|GO:0008654|GOA|na//biological process|positive regulation of multicellular organism growth|IEA|GO:0040018|GOA|na//biological process|triglyceride biosynthetic process|IDA|GO:0019432|GOA|18238778//cellular component|cytosol|EXP|GO:0005829|GOA|11546763//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|mitochondrial inner membrane|IEA|GO:0005743|GOA|na//cellular component|mitochondrial outer membrane|IEA|GO:0005741|GOA|na//cellular component|mitochondrion|IEA|GO:0005739|GOA|na	F	14	0.7832	-1.2768	0.0002	560.4269	429.7885
A_23_P421379	chr11:2154402-2154754	IGF2	1	NR_003512	insulin-like growth factor 2 (somatomedin A)	molecular function|growth factor activity|IDA|GO:0008083|GOA|11500939//molecular function|hormone activity|IEA|GO:0005179|GOA|na//molecular function|insulin receptor binding|IPI|GO:0005158|GOA|12138094//molecular function|insulin-like growth factor receptor binding|IEA|GO:0005159|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|10611375//biological process|carbohydrate metabolic process|IEA|GO:0005975|GOA|na//biological process|glucose metabolic process|IEA|GO:0006006|GOA|na//biological process|insulin receptor signaling pathway|TAS|GO:0008286|GOA|1845984//biological process|multicellular organismal development|TAS|GO:0007275|GOA|6382022//biological process|organ morphogenesis|IEA|GO:0009887|GOA|na//biological process|osteoblast differentiation|IEA|GO:0001649|GOA|na//biological process|positive regulation of MAPKKK cascade|IDA|GO:0043410|GOA|11500939//biological process|positive regulation of cell division|IEA|GO:0051781|GOA|na//biological process|positive regulation of cell proliferation|IC|GO:0008284|GOA|11500939//biological process|positive regulation of insulin receptor signaling pathway|IDA|GO:0046628|GOA|11500939//biological process|positive regulation of mitosis|IDA|GO:0045840|GOA|11500939//biological process|positive regulation of protein kinase B signaling cascade|IDA|GO:0051897|GOA|11500939//biological process|regulation of gene expression by genetic imprinting|TAS|GO:0006349|GOA|8968759//biological process|regulation of gene-specific transcription|NAS|GO:0032583|GOA|12881524//biological process|skeletal system development|TAS|GO:0001501|GOA|8298652//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|extracellular space|IEA|GO:0005615|GOA|na	F	14	0.7855	-1.273	6.5393E-18	382.2303	300.9364
A_23_P22027	chr7:155100071-155100130	INSIG1	1	NM_198337	Insulin induced gene 1	molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xe77a5c)//biological process|ER-nuclear sterol response pathway|IDA|GO:0030967|GOA|12242332//biological process|cell proliferation|TAS|GO:0008283|GOA|9268630//biological process|cholesterol metabolic process|IEA|GO:0008203|GOA|na//biological process|metabolic process|TAS|GO:0008152|GOA|9268630//biological process|steroid metabolic process|IEA|GO:0008202|GOA|na//cellular component|endoplasmic reticulum|IDA|GO:0005783|GOA|12202038//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	15	0.8089	-1.2363	7.3986E-15	27739.6504	22379.9961
A_23_P503064	chr13:33639483-33639542	KL	0	NM_004795	Klotho	molecular function|beta-glucosidase activity|TAS|GO:0008422|GOA|9363890//molecular function|beta-glucuronidase activity|IEA|GO:0004566|GOA|na//molecular function|cation binding|IEA|GO:0043169|GOA|na//molecular function|fibroblast growth factor binding|IPI|GO:0017134|GOA|18829467//molecular function|hormone activity|IEA|GO:0005179|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|signal transducer activity|TAS|GO:0004871|GOA|9363890//molecular function|vitamin D binding|IEA|GO:0005499|GOA|na//biological process|acute inflammatory response|IEA|GO:0002526|GOA|na//biological process|aging|IMP|GO:0007568|GOA|11792841//biological process|carbohydrate metabolic process|IEA|GO:0005975|GOA|na//biological process|energy reserve metabolic process|IEA|GO:0006112|GOA|na//biological process|fibroblast growth factor receptor signaling pathway|EXP|GO:0008543|GOA|17086194//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|positive regulation of bone mineralization|IMP|GO:0030501|GOA|12110410//cellular component|extracellular region|EXP|GO:0005576|GOA|17086194//cellular component|extracellular space|TAS|GO:0005615|GOA|9464267//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|9464267//cellular component|membrane fraction|TAS|GO:0005624|GOA|9464267//cellular component|plasma membrane|EXP|GO:0005886|GOA|17086194//cellular component|soluble fraction|TAS|GO:0005625|GOA|9464267	F	15	0.4145	-2.4124	4.4778E-35	91.7547	37.9716
A_24_P583225	chr7:39821393-39821452	LOC349114	0	NR_026999	hypothetical LOC349114		F	14	0.8418	-1.188	7.2954E-06	121.1588	102.1944
A_23_P147098	chr7:135635346-135635392	MTPN	0	NM_145808	Myotrophin	molecular function|protein binding|IPI|GO:0005515|GOA|17353931//biological process|catecholamine metabolic process|IEA|GO:0006584|GOA|na//biological process|cell growth|NAS|GO:0016049|GOA|12031792//biological process|cerebellar granule cell differentiation|IEA|GO:0021707|GOA|na//biological process|neuron differentiation|NAS|GO:0030182|GOA|12031792//biological process|regulation of striated muscle tissue development|NAS|GO:0016202|GOA|12031792//biological process|regulation of translation|NAS|GO:0006417|GOA|12031792//biological process|skeletal muscle tissue regeneration|IEA|GO:0043403|GOA|na//biological process|striated muscle cell differentiation|IEA|GO:0051146|GOA|na//cellular component|axon|IEA|GO:0030424|GOA|na//cellular component|cellular_component|ND|GO:0005575|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na	F	14	0.6994	-1.4298	1.6059E-15	541.4478	373.3566
A_24_P830690	chr16:2631645-2631704	PDPK1	0	NM_031268	3-phosphoinositide dependent protein kinase-1	molecular function|3-phosphoinositide-dependent protein kinase activity|EXP|GO:0004676|GOA|9768361//molecular function|3-phosphoinositide-dependent protein kinase activity|IDA|GO:0004676|GOA|9368760//molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|insulin receptor binding|IEA|GO:0005158|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x1c40160)//molecular function|protein kinase binding|IEA|GO:0019901|GOA|na//molecular function|protein serine/threonine kinase activity|EXP|GO:0004674|GOA|ARRAY(0x1998c5c)//molecular function|protein serine/threonine kinase activity|IDA|GO:0004674|GOA|9368760//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|actin cytoskeleton organization|TAS|GO:0030036|GOA|10792047//biological process|activation of protein kinase B activity|IDA|GO:0032148|GOA|9368760//biological process|cellular response to insulin stimulus|IMP|GO:0032869|GOA|10567711//biological process|focal adhesion assembly|IEA|GO:0048041|GOA|na//biological process|hyperosmotic response|IEA|GO:0006972|GOA|na//biological process|intracellular signaling cascade|IDA|GO:0007242|GOA|14749367//biological process|negative regulation of protein kinase activity|IDA|GO:0006469|GOA|9373175//biological process|peptidyl-threonine phosphorylation|IDA|GO:0018107|GOA|9368760//biological process|positive regulation of establishment of protein localization in plasma membrane|IMP|GO:0090004|GOA|10567711//cellular component|cytoplasm|IDA|GO:0005737|GOA|9637919//cellular component|cytoplasmic membrane-bounded vesicle|IEA|GO:0016023|GOA|na//cellular component|cytosol|EXP|GO:0005829|GOA|ARRAY(0x17feef0)//cellular component|plasma membrane|EXP|GO:0005886|GOA|ARRAY(0x1a02328)//cellular component|plasma membrane|IDA|GO:0005886|GOA|ARRAY(0x1efe630)	F	14	0.7925	-1.2618	1.2885E-07	483.6905	383.3341
A_24_P84719	chr12:112892402-112892464	PTPN11	1	L03535	Protein tyrosine phosphatase, non-receptor type 11	molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|insulin receptor binding|IEA|GO:0005158|GOA|na//molecular function|insulin receptor substrate binding|IEA|GO:0043560|GOA|na//molecular function|non-membrane spanning protein tyrosine phosphatase activity|EXP|GO:0004726|GOA|ARRAY(0xec0280)//molecular function|peptide hormone receptor binding|IEA|GO:0051428|GOA|na//molecular function|phospholipase binding|IEA|GO:0043274|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x2f423e8)//molecular function|protein domain specific binding|IEA|GO:0019904|GOA|na//molecular function|protein tyrosine phosphatase activity|TAS|GO:0004725|GOA|1280823//biological process|DNA damage checkpoint|IEA|GO:0000077|GOA|na//biological process|activation of MAPK activity|IEA|GO:0000187|GOA|na//biological process|axonogenesis|IEA|GO:0007409|GOA|na//biological process|glucose homeostasis|IEA|GO:0042593|GOA|na//biological process|hormone metabolic process|IEA|GO:0042445|GOA|na//biological process|hormone-mediated signaling pathway|IEA|GO:0009755|GOA|na//biological process|lipid metabolic process|IEA|GO:0006629|GOA|na//biological process|negative regulation of cortisol secretion|IEA|GO:0051463|GOA|na//biological process|negative regulation of growth hormone secretion|IEA|GO:0060125|GOA|na//biological process|negative regulation of insulin secretion|IEA|GO:0046676|GOA|na//biological process|nerve growth factor receptor signaling pathway|IEA|GO:0048011|GOA|na//biological process|organ growth|IEA|GO:0035265|GOA|na//biological process|positive regulation of hormone secretion|IEA|GO:0046887|GOA|na//biological process|positive regulation of signal transduction|IEA|GO:0009967|GOA|na//biological process|protein amino acid dephosphorylation|IEA|GO:0006470|GOA|na//biological process|regulation of multicellular organism growth|IEA|GO:0040014|GOA|na//biological process|regulation of protein export from nucleus|IEA|GO:0046825|GOA|na//biological process|reproductive process in a multicellular organism|IEA|GO:0048609|GOA|na//biological process|signal transduction|TAS|GO:0007165|GOA|1280823//biological process|triglyceride metabolic process|IEA|GO:0006641|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytosol|EXP|GO:0005829|GOA|ARRAY(0x1a5d66c)//cellular component|mitochondrion|IEA|GO:0005739|GOA|na//cellular component|protein complex|IEA|GO:0043234|GOA|na//cellular component|soluble fraction|IEA|GO:0005625|GOA|na	F	16	0.7063	-1.4159	8.3608E-11	308.9974	216.9145
A_23_P251104	chr4:52894133-52894175	SGCB	0	NM_000232	Sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)	biological process|cytoskeleton organization|IEA|GO:0007010|GOA|na//biological process|muscle organ development|TAS|GO:0007517|GOA|ARRAY(0x1ba41a8)//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|7581448//cellular component|sarcoglycan complex|IEA|GO:0016012|GOA|na//cellular component|sarcolemma|IEA|GO:0042383|GOA|na	F	14	0.8048	-1.2425	1.0828E-06	1055.5438	846.1134
A_23_P71064	chr7:21521603-21521662	SP4	0	NM_003112	Sp4 transcription factor	molecular function|RNA polymerase II transcription factor activity|TAS|GO:0003702|GOA|7559627//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|transcription coactivator activity|TAS|GO:0003713|GOA|7559627//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of heart contraction|IEA|GO:0008016|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|regulation of transcription from RNA polymerase II promoter|IDA|GO:0006357|GOA|12560508//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	14	0.7984	-1.2525	0.0002	39.0798	30.5382
