Gene Name	Description	RefSeq ID	Fold Change	FDR
SPARC	Homo sapiens secreted protein, acidic, cysteine-rich (osteonectin) (SPARC), mRNA	NM_003118	-2.2	-18.841
EPO	Homo sapiens erythropoietin (EPO), mRNA	NM_000799	-2.4	-44.497
HP	Homo sapiens haptoglobin (HP), mRNA	NM_005143	-2.4	-291.188
HPR	Homo sapiens haptoglobin-related protein (HPR), mRNA	NM_020995	-2.4	-291.188
GPR109A	Homo sapiens G protein-coupled receptor 109A (GPR109A), mRNA	NM_177551	-2.5	-29.157
GPR109B	Homo sapiens G protein-coupled receptor 109B (GPR109B), mRNA	NM_006018	-2.5	-29.157
SERPINA11	human full-length cDNA clone CS0DM004YD06 of Fetal liver of Homo sapiens (human).	BX248259	-2.5	-25.048
CLDN14	Homo sapiens claudin 14 (CLDN14), transcript variant 1, mRNA	NM_144492	-2.6	-26.904
PPP2R2B	Homo sapiens protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), beta isoform (PPP2R2B), transcript variant 1, mRNA	NM_004576	-2.6	-26.854
MGC11242	Homo sapiens hypothetical protein MGC11242 (MGC11242), mRNA	NM_024320	-2.9	-39.579
ZNF312	Homo sapiens zinc finger protein 312 (ZNF312), mRNA	NM_018008	-3.0	-71.639
AQP10	Homo sapiens small intestine aquaporin mRNA, complete cds.	AF159174	-3.3	-97.379
AQP10	Homo sapiens aquaporin 10 (AQP10), mRNA	NM_080429	-3.3	-97.379
TCP10	Homo sapiens t-complex 10 (mouse) (TCP10), mRNA	NM_004610	-3.4	-13.635
NKIR	Homo sapiens NK inhibitory receptor precursor (NKIR), mRNA	NM_139018	-4.1	-17.182
EDG1	Homo sapiens endothelial differentiation, sphingolipid G-protein-coupled receptor, 1 (EDG1), mRNA	NM_001400	-4.2	-21.824
KCTD12	Homo sapiens potassium channel tetramerisation domain containing 12 (KCTD12), mRNA	NM_138444	-4.4	-13.472
TCP10L	Homo sapiens t-complex 10 (mouse)-like (TCP10L), mRNA	NM_144659	-5.0	-14.650
SLC32A1	Homo sapiens solute carrier family 32 (GABA vesicular transporter), member 1 (SLC32A1), mRNA	NM_080552	-9.3	-68.179
GK2	Homo sapiens glycerol kinase 2 (GK2), mRNA	NM_033214	-17.5	-22.372
