Gene Symbol	Gene Title	Row_Column	log2 Par4	log2 emptyvector_control	log2 (Par4/vector)	abs fold-change	10%FDR	5%FDR	1%FDR	Alignments	RefSeq Protein ID	RefSeq Transcript ID	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	Pathway
WBP5	WW domain binding protein 5	321_8	-0.538205793	0.17353083	-0.711736623	1.637774378	yes	yes	yes	chrX:102498078-102500037 (+) // 68.21 // q22.1	NP_001006613.1 /// NP_001006614.1 /// NP_001006615.1 /// NP_057387.1	NM_001006612 /// NM_001006613 /// NM_001006614 /// NM_016303	---	---	---	---
WWP1	WW domain containing E3 ubiquitin protein ligase 1	336_74	0.846501986	0.043281968	0.803220018	1.744991511	yes	yes	yes	chr8:87455385-87549704 (+) // 99.15 // q21.3	NP_008944.1	NM_007013	7165 // signal transduction // non-traceable author statement /// 7417 // central nervous system development // non-traceable author statement /// 16481 // negative regulation of transcription // inferred from sequence or structural similarity /// 16567 // protein ubiquitination // traceable author statement /// 30217 // T cell differentiation // inferred from sequence or structural similarity /// 30324 // lung development // inferred from sequence or structural similarity /// 46718 // entry of virus into host cell // traceable author statement /// 6464 // protein modification // inferred from electronic annotation /// 6512 // ubiquitin cycle // inferred from electronic annotation	151 // ubiquitin ligase complex // non-traceable author statement /// 5622 // intracellular // inferred from electronic annotation	4842 // ubiquitin-protein ligase activity // traceable author statement /// 5515 // protein binding // inferred from physical interaction /// 5515 // protein binding // inferred from sequence or structural similarity /// 16874 // ligase activity // inferred from electronic annotation /// 4842 // ubiquitin-protein ligase activity // inferred from electronic annotation	---
WWTR1	WW domain containing transcription regulator 1	187_35	-0.263278032	0.507217371	-0.770495403	1.705855452	yes	yes	yes	chr3:150717711-150903750 (-) // 90.01 // q25.1	NP_056287.1	NM_015472	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // non-traceable author statement /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5634 // nucleus // non-traceable author statement /// 5634 // nucleus // inferred from electronic annotation	3713 // transcription coactivator activity // non-traceable author statement	---
XIST	X (inactive)-specific transcript	134_43	-0.747037082	-1.370763519	0.623726437	1.540850014	yes	yes	yes	chrX:72957210-72963132 (-) // 94.24 // q13.2	---	NR_001564	---	---	---	---
XBP1	X-box binding protein 1	174_87	-0.117055758	-0.679239789	0.562184031	1.476502737	yes	yes	yes	chr22:27520547-27526524 (-) // 97.63 // q12.1	NP_005071.2	NM_005080	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 6955 // immune response // traceable author statement	5634 // nucleus // inferred from electronic annotation	3700 // transcription factor activity // traceable author statement /// 43565 // sequence-specific DNA binding // inferred from electronic annotation /// 46983 // protein dimerization activity // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from electronic annotation /// 3677 // DNA binding // traceable author statement	---
ZADH1	zinc binding alcohol dehydrogenase, domain containing 1	128_71	0.216783385	0.770895289	-0.554111904	1.468264519	yes	yes	yes	chr14:73420584-73421039 (+) // 77.45 // q24.3	NP_689657.1	NM_152444	---	5737 // cytoplasm // non-traceable author statement	8270 // zinc ion binding // non-traceable author statement /// 16491 // oxidoreductase activity // non-traceable author statement /// 8270 // zinc ion binding // inferred from electronic annotation /// 16491 // oxidoreductase activity // inferred from electronic annotation	---
ZBTB10	Zinc finger and BTB domain containing 10	346_84	0.900101256	0.187166952	0.712934303	1.639134571	yes	yes	yes	chr8:81594218-81596849 (+) // 96.79 // q21.13	NP_076418.2	NM_023929	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5622 // intracellular // inferred from electronic annotation /// 5634 // nucleus // inferred from electronic annotation	3677 // DNA binding // inferred from electronic annotation /// 5515 // protein binding // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 3676 // nucleic acid binding // inferred from electronic annotation	---
ZC3H11A	Zinc finger CCCH-type containing 11A	352_32	0.745862672	0.189829142	0.55603353	1.470221506	yes	yes	yes	chr1:202035923-202036594 (-) // 95.99 // q32.1	NP_055642.2	NM_014827	---	---	3676 // nucleic acid binding // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation	---
ZFHX1B	Zinc finger homeobox 1b	302_13	-0.569528517	-1.116335755	0.546807238	1.460849178	yes	yes	yes	chr2:144956707-144957217 (-) // 75.41 // q22.3	NP_055610.1	NM_014795	6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 7399 // nervous system development // non-traceable author statement /// 16481 // negative regulation of transcription // Unknown /// 6350 // transcription // inferred from electronic annotation /// 45449 // regulation of transcription // inferred from electronic annotation	5622 // intracellular // inferred from electronic annotation /// 5634 // nucleus // Unknown /// 5634 // nucleus // inferred from electronic annotation	3700 // transcription factor activity // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 16564 // transcriptional repressor activity // inferred from sequence or structural similarity /// 19208 // phosphatase regulator activity // non-traceable author statement /// 43565 // sequence-specific DNA binding // inferred from electronic annotation /// 46332 // SMAD binding // non-traceable author statement /// 46872 // metal ion binding // inferred from electronic annotation /// 3676 // nucleic acid binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation	TGF_Beta_Signaling_Pathway // GenMAPP /// TGF_Beta_Signaling_Pathway // GenMAPP
ZNF217	zinc finger protein 217	174_37	-0.163368903	-0.855301121	0.691932217	1.615445654	yes	yes	yes	chr20:51617019-51633043 (-) // 99.52 // q13.2	NP_006517.1	NM_006526	6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 6350 // transcription // inferred from electronic annotation /// 6351 // transcription, DNA-dependent // traceable author statement	5622 // intracellular // inferred from electronic annotation /// 5634 // nucleus // inferred from electronic annotation	3700 // transcription factor activity // traceable author statement /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 3676 // nucleic acid binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation	---
ZNF233	zinc finger protein 233	70_11	0.91497007	0.238552548	0.676417522	1.598166282	yes	yes	yes	chr19:49470730-49471320 (+) // 85.47 // q13.31	NP_861421.1	NM_181756	---	---	---	---
ZNF254 /// ZNF539	zinc finger protein 254 /// zinc finger protein 539	300_70	-1.03110833	-0.451985642	-0.579122688	1.493940498	yes	yes	yes	chr19:24061815-24103022 (+) // 97.84 // p12	NP_004867.1 /// NP_975011.2	NM_004876 /// NM_203282	122 // negative regulation of transcription from RNA polymerase II promoter // traceable author statement /// 6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5622 // intracellular // inferred from electronic annotation /// 5634 // nucleus // inferred from electronic annotation	3677 // DNA binding // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 3676 // nucleic acid binding // inferred from electronic annotation	---
ZNF331	zinc finger protein 331	238_37	-0.247057908	-0.896493981	0.649436073	1.568554952	yes	yes	yes	chr19:58733853-58773144 (+) // 93.22 // q13.41	NP_061025.4	NM_018555	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // non-traceable author statement /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5622 // intracellular // inferred from electronic annotation /// 5634 // nucleus // non-traceable author statement /// 5634 // nucleus // inferred from electronic annotation	3677 // DNA binding // non-traceable author statement /// 8270 // zinc ion binding // non-traceable author statement /// 46872 // metal ion binding // inferred from electronic annotation /// 3676 // nucleic acid binding // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation	---
ZNF503	zinc finger protein 503	146_33	-1.063333021	0.456155355	-1.519488376	2.866893626	yes	yes	yes	chr10:76827921-76828916 (-) // 91.02 // q22.2	NP_116161.2	NM_032772	---	5622 // intracellular // inferred from electronic annotation /// 5634 // nucleus // inferred from electronic annotation	3676 // nucleic acid binding // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation	---
ZNF568	zinc finger protein 568	192_50	0.783912101	-0.079936438	0.863848538	1.819886577	yes	yes	yes	chr19:42099073-42164336 (+) // 28.04 // q13.12	NP_940941.1	NM_198539	---	---	---	---
ZNF691	zinc finger protein 691	15_62	1.222408727	0.023980346	1.198428381	2.294895373	yes	yes	yes	chr1:43087547-43090731 (+) // 92.38 // p34.2	NP_056995.1	NM_015911	---	5622 // intracellular // inferred from electronic annotation /// 5634 // nucleus // inferred from electronic annotation	3676 // nucleic acid binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation	---
ZNF704	zinc finger protein 704	212_76	1.033737112	0.263591611	0.770145501	1.705441775	yes	yes	yes	chr8:81714857-81715615 (-) // 98.18 // q21.13	NP_001028895.1	NM_001033723	---	5622 // intracellular // inferred from electronic annotation /// 5634 // nucleus // inferred from electronic annotation	3676 // nucleic acid binding // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation	---
